Session started: 2025-11-03 10:47:11
TIME(s)	TYPE	MESSAGE
=======	====	=======
0	Misc	Load chapter 1
3	Edit	Add 2 nodes (flownode)
15	Edit	Delete 2 nodes (flownode)
97	Edit	Image offset changed Intro
120	Edit	Move Door
186	Edit	Delete TRANSIT (flownode)
215	Edit	Add MainRoomC (location)
234	Edit	Delete MainRoom (location)
265	Edit	Delete MainRoomC (location)
289	Edit	Add CMainRoom (location)
296	Edit	Set background for CMainRoom
312	Edit	Add BMainRoom (location)
324	Edit	Add AMainRoom (location)
367	Edit	Add TRANSIT (flownode)
370	Edit	Move node (node)
373	Edit	Connect node (flownode)
374	Edit	Move node (node)
376	Edit	Edit TRANSIT (flownode)
380	Edit	Add TRANSIT (flownode)
381	Edit	Move node (node)
382	Edit	Connect node (flownode)
386	Edit	Edit TRANSIT (flownode)
390	Edit	Add TRANSIT (flownode)
391	Edit	Move node (node)
392	Edit	Connect node (flownode)
395	Edit	Edit TRANSIT (flownode)
399	Edit	Move node (node)
401	Edit	Move node (node)
402	Edit	Move node (node)
428	Edit	Add A (interact)
438	Edit	Zoom changed A
438	Edit	Image offset changed A
438	Edit	Set sprite for A
440	Edit	Move A
450	Edit	Add B (interact)
457	Edit	Zoom changed B
457	Edit	Image offset changed B
457	Edit	Set sprite for B
458	Edit	Move B
467	Edit	Add C (interact)
475	Edit	Zoom changed C
475	Edit	Image offset changed C
475	Edit	Set sprite for C
476	Edit	Move C
478	Misc	Save
487	Misc	Play
510	Misc	Stop play
566	Edit	Move node (node)
570	Edit	Delete TRANSIT (flownode)
572	Edit	Add CONDITION (flownode)
573	Edit	Move node (node)
575	Edit	Connect node (flownode)
592	Edit	Edit CONDITION (flownode)
595	Edit	Connect node (flownode)
598	Edit	Connect node (flownode)
599	Edit	Connect node (flownode)
602	Edit	Move node (node)
605	Edit	Move node (node)
608	Misc	Save
616	Edit	Add TRANSIT (flownode)
620	Edit	Edit TRANSIT (flownode)
622	Edit	Move node (node)
624	Edit	Connect node (flownode)
630	Edit	Add TRANSIT (flownode)
633	Edit	Add TRANSIT (flownode)
633	Misc	Save
637	Misc	Play
666	Misc	Stop play
708	Edit	Move C
712	Edit	Move C
1143	Edit	Change characters (character)
1146	Edit	Move C
1248	Edit	Move C
1269	Edit	Move C
1279	Edit	Move C
1304	Edit	Loaction order change
1325	Edit	Move C
1328	Edit	Move C
1354	Edit	Add CR1 (location)
1372	Edit	Add CR2 (location)
1387	Edit	Add CR3 (location)
1398	Edit	Loaction order change
1404	Edit	Loaction order change
1411	Edit	Loaction order change
1418	Edit	Move C
1430	Edit	Add CD1 (interact)
1433	Edit	Move CD1
1439	Edit	Add CD2 (interact)
1449	Edit	Add CD3 (interact)
1453	Edit	Move CD3
1454	Edit	Move CD2
1455	Edit	Move CD1
1461	Edit	Add TRANSIT (flownode)
1463	Edit	Move node (node)
1464	Edit	Connect node (flownode)
1468	Edit	Edit TRANSIT (flownode)
1475	Edit	Add TRANSIT (flownode)
1476	Edit	Move node (node)
1477	Edit	Connect node (flownode)
1480	Edit	Edit TRANSIT (flownode)
1487	Edit	Add TRANSIT (flownode)
1488	Edit	Move node (node)
1489	Edit	Connect node (flownode)
1492	Edit	Edit TRANSIT (flownode)
1493	Misc	Save
1518	Edit	Add Alex (interact)
1522	Edit	Move Alex
1532	Edit	Add Devin (interact)
1542	Edit	Move Devin
1547	Edit	Add Bridgette (interact)
1552	Edit	Add Cal (interact)
1555	Misc	Save
1558	Misc	Play
1561	Misc	Stop play (forced)
1578	Misc	Play from chapter 0
1578	Misc	Load chapter 0
1584	Misc	Load chapter 1
1586	Misc	Stop play (forced)
